ObjectID,GlobalID,Monitoring Date,Monitor Names,Vernal Pool?,Vernal Pool Name or Number,Vernal Pool Axis,Project Site,Unlisted Project Site,Lagoon Transect Name/Number,Unlisted Lagoon Transect Name/Number,NCOS Transect Name/Number,NP Transect Name/Number,Unlisted NP Transect Name/Number,Transect Name/Number,Total Transect Length,Transect Start Time,Transect Finish Time,Transect Notes,Transect Distance of Quadrat,Side of Transect (Left or Right),Vernal Pool Zone,Quadrat Notes (Optional),Percent Bare Ground,Percent Natural Thatch,Percent Mowed/Trimmed Thatch,Thatch Notes (Optional),Count of Native Species,Sum of Native Cover,Count of Non-Native Species,Sum of Non-Native Cover,Count of Unknown Species,Sum of Unknown Cover,Sum of Thatch,Sum of Other Cover,Bare Ground,SUM of ALL COVER,CreationDate,Creator,EditDate,Editor,x,y
1,b7d02fdc-7fff-446b-877b-0c06e807e850,5/12/2021 7:00:00 PM,"Steven, Oliver, Ethan, Johnny",yes,3,major,ncos,,,,,,,,54,09:29,,,0,Left,edge,,20,11,0,,3,36,,,,,11,0,20,,5/12/2021 7:32:13 PM,ccber_user,5/12/2021 7:32:13 PM,ccber_user,0,0
2,6557fc3c-361f-4d3f-9bae-77fc46839719,5/12/2021 7:00:00 PM,"Steven, Oliver, Ethan, Johnny",no,3,major,ncos,,,,,,,,54,09:29,,,2,Right,edge,,22,16,0,,5,12,,,,,16,0,22,,5/12/2021 7:32:19 PM,ccber_user,5/12/2021 7:32:19 PM,ccber_user,0,0
3,e160c466-3b43-4abd-bd36-5ded4d87f6c5,5/12/2021 7:00:00 PM,"Steven, Ethan",yes,3,major,ncos,,,,,,,,54,09:29,,,4,Left,transition,,30,40,0,,6,10,,,,,40,0,30,,5/12/2021 7:32:20 PM,ccber_user,5/12/2021 7:32:20 PM,ccber_user,0,0
4,5c15eb52-e825-40f5-b5ba-d1094703dce2,5/12/2021 7:00:00 PM,"Steven, Ethan",no,3,major,ncos,,,,,,,,54,09:29,,,6,Right,transition,,60,10,0,,5,14,,,,,10,0,60,,5/12/2021 7:32:21 PM,ccber_user,5/12/2021 7:32:21 PM,ccber_user,0,0
5,60b3e619-32db-4b40-84b1-b56fd299f0d0,5/12/2021 7:00:00 PM,"Steven, Ethan",no,3,major,ncos,,,,,,,,54,09:29,,,8,Left,transition,,42,35,0,,5,13,,,,,35,0,42,,5/12/2021 7:32:23 PM,ccber_user,5/12/2021 7:32:23 PM,ccber_user,0,0
6,31adb349-3a96-4820-9dbe-171bdcd888c4,5/12/2021 7:00:00 PM,"Steven, Ethan",no,3,major,ncos,,,,,,,,54,09:29,,,10,Right,transition,,65,15,0,,6,7,,,,,15,0,65,,5/12/2021 7:32:24 PM,ccber_user,5/12/2021 7:32:24 PM,ccber_user,0,0
7,898be968-bd43-4b7d-89e5-34e95732c892,5/12/2021 7:00:00 PM,"Steven, Ethan",no,3,major,ncos,,,,,,,,54,09:29,,,12,Left,transition,,75,10,0,,6,2,,,,,10,0,75,,5/12/2021 7:32:25 PM,ccber_user,5/12/2021 7:32:25 PM,ccber_user,0,0
8,c5204ab9-1ecc-489e-9bed-2262ddc5852a,5/12/2021 7:00:00 PM,"Johnny A, Oliver F",yes,4,major,ncos,,,,,,,,38,10:27,,,0,Left,,,25,24,0,,4,34,,,,,24,0,25,,5/12/2021 7:33:18 PM,ccber_user,5/12/2021 7:33:18 PM,ccber_user,0,0
9,9ec1a2f6-265a-407b-952c-6f8f5f67f52c,5/12/2021 7:00:00 PM,"Johnny A, Oliver F",yes,4,major,ncos,,,,,,,,38,10:27,,,2,Right,,,37,12,0,,6,17,,,,,12,0,37,,5/12/2021 7:33:19 PM,ccber_user,5/12/2021 7:33:19 PM,ccber_user,0,0
10,59309f66-9339-427c-8007-4a8a731b4737,5/12/2021 7:00:00 PM,"Johnny A, Oliver F",yes,4,major,ncos,,,,,,,,38,10:27,,,4,Left,transition,,22,8,0,,3,24,,,,,8,15,22,,5/12/2021 7:33:20 PM,ccber_user,5/12/2021 7:33:20 PM,ccber_user,0,0
11,788e93c5-0ed1-402c-9a5a-50a46812246f,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,0,Left,edge,,0,100,0,,1,90,4,23,0,0,100,0,0,213,5/13/2021 11:57:59 PM,ccber_user,5/13/2021 11:57:59 PM,ccber_user,0,0
12,c02a70d1-9b11-468e-bf63-d59b27e4ef40,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,3,Right,edge,,1,90,0,,2,30,4,103,0,0,90,0,1,224,5/13/2021 11:58:03 PM,ccber_user,5/13/2021 11:58:03 PM,ccber_user,0,0
13,8c2eb9aa-ac01-4f9a-8575-2ac5d1f63527,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,5,Left,edge,,0,100,0,,2,8,4,98,0,0,100,0,0,206,5/13/2021 11:58:04 PM,ccber_user,5/13/2021 11:58:04 PM,ccber_user,0,0
14,ad5f6587-6f8c-4605-baa8-60184357253d,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,7,Right,transition,Gopher disturbance,10,90,0,,3,45,5,37,0,0,90,0,10,182,5/13/2021 11:58:05 PM,ccber_user,5/13/2021 11:58:05 PM,ccber_user,0,0
15,4fca9a27-88df-4138-a313-785ce001c256,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,9,Left,bottom,,0,90,0,,5,113,2,2,0,0,90,0,0,205,5/13/2021 11:58:06 PM,ccber_user,5/13/2021 11:58:06 PM,ccber_user,0,0
16,87398388-dfd6-4d2d-80e7-878a9d99f3b5,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,11,Right,bottom,,0,90,0,,5,159,1,2,0,0,90,0,0,251,5/13/2021 11:58:07 PM,ccber_user,5/13/2021 11:58:07 PM,ccber_user,0,0
17,0a7075b6-564f-4309-bc59-c344626fbaa7,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,13,Left,bottom,,0,90,0,,6,153,2,2,0,0,90,0,0,245,5/13/2021 11:58:08 PM,ccber_user,5/13/2021 11:58:08 PM,ccber_user,0,0
18,7cf9f9f9-25b8-45d9-909a-13c410d2f1e9,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,15,Right,transition,,0,90,0,,5,132,3,3,0,0,90,0,0,225,5/13/2021 11:58:08 PM,ccber_user,5/13/2021 11:58:08 PM,ccber_user,0,0
19,eeb733f4-a7c6-4473-ba26-d3fc5d2c4f09,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,17,Left,transition,,2,90,0,,6,143,4,5,0,0,90,0,2,240,5/13/2021 11:58:09 PM,ccber_user,5/13/2021 11:58:09 PM,ccber_user,0,0
20,6f864b66-7f83-4d97-ae8c-b4b1a27f5f37,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,19,Right,edge,,2,90,0,,5,60,4,17,0,0,90,0,2,169,5/13/2021 11:58:10 PM,ccber_user,5/13/2021 11:58:10 PM,ccber_user,0,0
21,e49a7896-9696-407d-9ea9-4156fb33fbd0,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San Miguel,major,manzanita_village,,,,,,,,25,09:38,,,21,Left,edge,,0,100,0,,1,40,2,26,0,0,100,0,0,166,5/13/2021 11:58:11 PM,ccber_user,5/13/2021 11:58:11 PM,ccber_user,0,0
22,5eadc30f-5708-450c-8f3d-68051b445a5e,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C, Michaela M",yes,San miguel,major,manzanita_village,,,,,,,,25,09:38,,,23,Right,edge,,0,100,0,,2,91,2,6,0,0,100,0,0,197,5/13/2021 11:58:12 PM,ccber_user,5/13/2021 11:58:12 PM,ccber_user,0,0
23,1ab97012-f394-4609-83f7-87b215751dd1,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel,major,manzanita_village,,,,,,,,30,10:41,,,1,Left,edge,,0,50,0,,3,74,4,15,0,0,50,6,0,145,5/13/2021 11:58:13 PM,ccber_user,5/13/2021 11:58:13 PM,ccber_user,0,0
24,bc95a39a-3913-4d50-8890-fb35a45a9894,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel ,major,manzanita_village,,,,,,,,30,10:41,,,3,Right,edge,,0,90,0,,3,54,3,81,0,0,90,0,0,225,5/13/2021 11:58:14 PM,ccber_user,5/13/2021 11:58:14 PM,ccber_user,0,0
25,d18c9f62-1ddd-4d5f-a1e5-2d0d83ddea2d,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel,major,manzanita_village,,,,,,,,30,10:41,,,5,Left,edge,,5,50,0,,1,15,5,82,0,0,50,0,5,152,5/13/2021 11:58:14 PM,ccber_user,5/13/2021 11:58:14 PM,ccber_user,0,0
26,be02d73f-68e0-43b3-bd87-dfc59342b687,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel,major,manzanita_village,,,,,,,,30,10:41,,,7,Right,transition,Gopher disturbance,12,60,0,,3,91,2,12,0,0,60,0,12,175,5/13/2021 11:58:15 PM,ccber_user,5/13/2021 11:58:15 PM,ccber_user,0,0
27,86733f2b-15ee-4c2b-8f10-2691b31ec616,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel,major,manzanita_village,,,,,,,,30,10:41,,,9,Left,transition,,0,90,0,,3,125,2,3,0,0,90,0,0,218,5/13/2021 11:58:16 PM,ccber_user,5/13/2021 11:58:16 PM,ccber_user,0,0
28,d9b908a3-5929-4acb-a9b1-1f13cfc3df97,5/13/2021 7:00:00 PM,"Carlo C, Andy L, Mary C",yes,San Miguel,major,manzanita_village,,,,,,,,30,10:41,,,11,Right,transition,,0,90,0,,4,131,1,1,0,0,90,0,0,222,5/13/2021 11:58:16 PM,ccber_user,5/13/2021 11:58:16 PM,ccber_user,0,0
